,Link,Name,Description,Price,Sale_Price
113,https://www.nike.com/in/t/sportswear-t-shirt-RkpSBq/DO3420-657,Nike Sportswear,Men's T-Shirt,"1,795","1,437"
114,https://www.nike.com/in/t/sb-skate-jumper-fGGqMC/DD0578-010,Nike SB,Skate Jumper,"5,995","4,797"
115,https://www.nike.com/in/t/flex-plus-se-younger-shoes-lhWG2x/DJ1597-607,Nike Flex Plus SE,Younger Kids' Shoes,"4,495","3,597"
116,https://www.nike.com/in/t/dynamo-go-younger-easy-on-off-shoes-dCf2Zv/DH3437-002,Nike Dynamo Go,Younger Kids' Easy On/Off Shoes,"4,995","3,997"
117,https://www.nike.com/in/t/jordan-sport-dna-pullover-hoodie-ZWBb73/DC9644-010,Jordan Sport DNA,Men's Pullover Hoodie,"4,495","3,597"
118,https://www.nike.com/in/t/sb-shane-skate-shoes-HRF9SF/DH7146-600,Nike SB Shane Premium,Skate Shoes,"7,495","5,997"
119,https://www.nike.com/in/t/jordan-jumpman-jacket-Wz6mwH/DJ0242-241,Jordan Jumpman,Men's Jacket,"8,995","7,197"
120,https://www.nike.com/in/t/wio-8-road-running-shoes-S6jPM3/CW3419-004,Nike Winflo 8,Men's Road Running Shoes,"8,295","6,637"
121,https://www.nike.com/in/t/force-1-fontanka-younger-shoes-16hDJs/DO6146-100,Nike Force 1 Fontanka,Younger Kids' Shoes,"5,495","4,397"
122,https://www.nike.com/in/t/fc-barcelona-dri-fit-pre-match-short-sleeve-football-top-GFw6g4/DH7688-837,F.C. Barcelona,Men's Nike Dri-FIT Pre-Match Short-Sleeve Football Top,"3,695","2,957"
123,https://www.nike.com/in/t/sportswear-t-shirt-XT4KRN/DN5170-010,Nike Sportswear,Men's T-Shirt,"1,795","1,437"
124,https://www.nike.com/in/t/dri-fit-basketball-shorts-JJVwFv/BV9386-010,Nike Dri-FIT,Basketball Shorts,"1,695","1,357"
125,https://www.nike.com/in/t/canyon-sandal-4D0TT7/CI8797-007,Nike Canyon,Men's Sandal,"4,495","3,597"
126,https://www.nike.com/in/t/jordan-ma2-shoe-qw1Z6m/CV8122-200,Jordan MA2,Shoe,"10,895","8,717"
127,https://www.nike.com/in/t/dri-fit-older-training-top-8Q4BNJ/DM8541-010,Nike Dri-FIT,Older Kids' (Boys') Training Top,"1,395","1,117"
128,https://www.nike.com/in/t/jordan-statement-essentials-warm-up-trousers-31H9hW/DH9040-241,Jordan Statement Essentials,Men's Warm-Up Trousers,"4,995","3,997"
129,https://www.nike.com/in/t/brooklyn-nets-city-edition-dri-fit-nba-swingman-jersey-WszLpS/DB4018-400,Brooklyn Nets City Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197"
130,https://www.nike.com/in/t/new-orleans-pelicans-city-edition-dri-fit-nba-swingman-jersey-MF7LdM/DB4037-100,New Orleans Pelicans City Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197"
