,Link,Title,Company Name,Location,Date,Salary
291,https://in.indeed.com//rc/clk?jk=4420e3e40037798d&fccid=9aa6a880ca4b05fd&vjs=3,Data Analytics solutions,ACZ Global,"Noida, Uttar Pradesh",Posted29 days ago,N/A
292,https://in.indeed.com//rc/clk?jk=b98236a41b4d4b23&fccid=2b1e42f645eeaf1e&vjs=3,CIEL/SEL/24241: Business Analyst,CIEL HR Services,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
293,https://in.indeed.com//rc/clk?jk=cabb900132a2e57b&fccid=fe2d21eef233e94a&vjs=3,"Business Intelligence Engineer, Consumer Finance Technology",ADCI - Uttar Pradesh,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
294,https://in.indeed.com//company/Pandoblox/jobs/Netsuite-Business-Analyst-1d8af3ccce3132c0?fccid=685fba65c1b20fa4&vjs=3,"Job#20220524RT NetSuite Business Analyst - Remote, India",Pandoblox,"Remote in New Delhi, Delhi",Posted20 days ago,N/A
295,https://in.indeed.com//rc/clk?jk=55d90345cce81c93&fccid=fcce311099a3a228&vjs=3,Senior Associate - DI - Data Analytics,Alvarez & Marsal,"New Delhi, Delhi",Posted30+ days ago,N/A
296,https://in.indeed.com//rc/clk?jk=ade72049f7b6cc35&fccid=2aeb31aaa6dbf952&vjs=3,PMO Analyst,Accedo,"New Delhi, Delhi",Posted30+ days ago,N/A
297,https://in.indeed.com//rc/clk?jk=8ad5b9a3488d2511&fccid=0fff9f75ac2f789b&vjs=3,"Associate, Business Analyst ( MBA Freshers)",NS Matrix Services,"New Delhi, Delhi",Posted30+ days ago,"Rs. 1,50,000 - Rs. 2,50,000 a year"
298,https://in.indeed.com//rc/clk?jk=4dad40b23842706c&fccid=a5cbd2514edf7804&vjs=3,Business Intelligence Developer - I,Chegg,"Jasola, Delhi, Delhi",Posted30+ days ago,N/A
299,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1Tds0XE-AWRCee3Hrfxz-ITHKTJBiA-Eoohq1h1wmP37zT5WzqpqH1McQgi8c-OwmutE1Fk8G4V0Wa8olvfwjBmZ0Ud9gdeBCZ4TV_r-rzzc0qwSqC2DDH2NWOWG_Ovgzc5l-qaWYqaV3w6yM6zjRF1ywkdNxHau0CrRayA61Del5Jwlef6EnnZz3jjhUU4-pq8G23I7FhDsANE3QaL7poJV4bjEY-hib8LmhMMH1FBbBwNe4bhqIzi-R0ll4Ak1MhF-6kjvmvGfl4FHUlCj4WI8F0yH9dtRELhVQpwNcTFravB0O0Ne3uAitYzQa9QCFecUVp80z40_YlZA7tgbdR8OYhLi5ABUeJqc74bIbzYoF4r4ZNGorWmrA-NPvFDVtjVboxncwwWQIgSv_W4Gi1okXvcZzCpUdbHVMAEbJO-WovJWkl-xpKHc=&p=13&fvj=0&vjs=3,Lead Visual Engineer/Analyst,Boston Consulting Group,"New Delhi, Delhi",Posted30+ days ago,N/A
300,https://in.indeed.com//rc/clk?jk=b4f7cc801d3b7be9&fccid=3e093dcca6523ac0&vjs=3,Big data engineer (PBI/ Tableau/ Microstrategy/ SSRS),forstaffing india,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
301,https://in.indeed.com//rc/clk?jk=ba3992342a1af809&fccid=c657004775716cc5&vjs=3,Data Scientist/Analytics Engineer - Machine Learning/Predict...,Suntec Web Services,"New Delhi, Delhi",Posted30+ days ago,N/A
